ID,APS_ID,memberID,SequenceID
919,2,68812,1
2602,2,68815,1
429,0,68823,1
4919,19,68824,1
8490,0,68825,1
1966,18,68834,1
7753,0,68838,1
11358,26,68839,1
2221,13,68845,1
2760,0,68846,1
4064,15,68850,1
4579,0,68857,1
3250,5,68863,1
9335,9,68866,1
3432,2,68871,1
2613,2,68872,1
4089,0,68878,1
2140,0,68881,1
4067,0,68882,1
2604,2,68884,1
9323,18,68888,1
2610,2,68889,1
2600,2,68891,1
3722,3,68892,1
1433,3,68909,1
10889,0,68920,1
5566,0,68942,1
14253,0,68945,1
1096,3,68956,1
9548,0,68959,1
11512,0,68965,1
2884,0,68968,1
2986,20,68971,1
479,0,68976,1
505,0,68979,1
899,20,68983,1
2856,0,68984,1
1014,26,68986,1
13227,0,68988,1
1865,26,68993,1
4432,0,68994,1
2849,0,68995,1
911,6,68996,1
2531,20,69001,1
458,0,69002,1
1960,20,69008,1
15670,0,69011,1
1870,0,69050,1
11824,0,69059,1
3905,0,69060,1
2987,0,69070,1
614,0,69074,1
724,26,69084,1
4433,0,69085,1
4786,7,69087,1
4937,20,69110,1
4394,18,69111,1
6403,20,69113,1
5711,0,69115,1
17644,0,69127,1
20082,0,69128,1
24603,4,69137,1
4567,0,69146,1
4492,0,69150,1
4434,0,69152,1
3743,1,69153,1
1929,0,69163,1
5134,0,69169,1
1391,0,69175,1
794,0,69176,1
7224,0,69178,1
7754,0,69179,1
4096,0,69181,1
1747,7,69182,1
11350,0,69185,1
1743,7,69191,1
17716,6,69194,1
2874,17,69197,1
792,0,69208,1
4583,23,69209,1
3670,7,69213,1
788,0,69237,1
18354,0,69248,1
18357,0,69249,1
18358,0,69252,1
18346,0,69253,1
18350,0,69254,1
18349,0,69255,1
18352,0,69256,1
18348,0,69257,1
18347,0,69258,1
18353,0,69259,1
772,16,69264,1
753,24,69265,1
10539,26,69266,1
10806,0,69271,1
790,0,69274,1
2774,0,69275,1
9626,6,69284,1
6106,0,69288,1
11726,0,69294,1
4805,0,69296,1
2985,0,69300,1
3685,3,69303,1
937,6,69304,1
815,0,69308,1
7573,0,69309,1
1110,7,69312,1
27209,0,69316,1
29863,0,69320,1
18413,26,69322,1
7752,0,69330,1
7962,7,69331,1
816,0,69333,1
1515,0,69350,1
4435,0,69351,1
9586,0,69355,1
1053,0,69357,1
3915,0,69386,1
16702,0,69397,1
1629,4,69399,1
9587,0,69400,1
7725,0,69405,1
15682,0,69406,1
7750,0,69408,1
4221,0,69410,1
4220,0,69411,1
9852,0,69415,1
1046,0,69416,1
20428,0,69420,1
851,0,69421,1
4493,0,69436,1
10619,0,69439,1
18978,0,69441,1
5562,0,69443,1
15639,11,69448,1
8406,15,69456,1
1084,7,69457,1
3381,24,69464,1
1159,1,69467,1
15409,0,69471,1
9187,15,69477,1
586,0,69482,1
1037,20,69483,1
26419,20,69483,2
778,0,69489,1
7720,0,69491,1
3135,5,69493,1
784,0,69518,1
8409,17,69519,1
4436,3,69521,1
1015,4,69522,1
10397,0,69531,1
12553,0,69546,1
11265,0,69554,1
10800,4,69556,1
9754,0,69561,1
881,4,69571,1
2206,0,69576,1
1580,0,69578,1
511,0,69580,1
3376,0,69585,1
7846,0,69586,1
4865,0,69589,1
5820,0,69605,1
14601,0,69610,1
6863,0,69614,1
440,19,69620,1
17836,0,69621,1
3570,0,69622,1
1784,0,69624,1
4437,21,69626,1
15537,3,69633,1
4438,0,69650,1
13806,0,69651,1
10663,0,69652,1
2191,0,69665,1
11780,0,69671,1
2594,26,69674,1
1480,0,69680,1
491,0,69685,1
9588,0,69697,1
16626,0,69703,1
2482,0,69714,1
16581,4,69715,1
1289,3,69720,1
4526,4,69721,1
4310,9,69725,1
2323,5,69754,1
627,1,69756,1
1473,0,69757,1
1019,6,69765,1
2907,8,69767,1
9044,0,69768,1
679,6,69771,1
1873,0,69773,1
15551,24,69781,1
1036,0,69786,1
11725,0,69790,1
18351,0,69791,1
908,3,69794,1
11724,0,69801,1
7266,0,69804,1
5561,0,69810,1
4180,0,69812,1
415,0,69815,1
7116,0,69819,1
656,6,69822,1
3690,3,69823,1
2581,3,69824,1
1176,0,69830,1
1078,7,69831,1
6258,0,69832,1
3383,0,69842,1
11723,3,69845,1
7424,0,69847,1
10069,24,69850,1
391,0,69856,1
3488,0,69858,1
9085,0,69861,1
4317,7,69862,1
6102,23,69874,1
14282,0,69875,1
19316,0,69876,1
3239,0,69884,1
2886,0,69894,1
2917,0,69896,1
9132,15,69899,1
565,24,69900,1
11722,0,69901,1
1123,0,69902,1
7624,15,69903,1
557,6,69909,1
4494,0,69925,1
7075,0,69933,1
4495,0,69934,1
4948,19,69937,1
13433,7,69939,1
3704,0,69941,1
4724,0,69946,1
11278,0,69948,1
6685,0,69972,1
4439,4,69974,1
11721,0,69983,1
3092,0,69988,1
2537,0,69996,1
15739,0,70006,1
4939,20,70007,1
14724,0,70008,1
4440,0,70011,1
3242,23,70012,1
9027,15,70016,1
8352,0,70021,1
9589,0,70023,1
2316,0,70029,1
11720,0,70030,1
15711,0,70035,1
569,0,70051,1
796,0,70058,1
4128,0,70060,1
3478,7,70061,1
13239,0,70066,1
5889,4,70071,1
9590,0,70072,1
11068,0,70080,1
17212,7,70088,1
6072,0,70089,1
6141,0,70090,1
5183,0,70094,1
3360,0,70095,1
3992,0,70100,1
9019,0,70111,1
1732,7,70120,1
3521,0,70124,1
21092,6,70131,1
3932,0,70134,1
8847,0,70138,1
1231,0,70140,1
11355,0,70144,1
4441,0,70151,1
1428,0,70152,1
6002,4,70153,1
3011,8,70169,1
1230,0,70170,1
17209,0,70172,1
2664,4,70176,1
567,6,70179,1
15183,0,70186,1
19541,8,70188,1
4496,0,70195,1
4447,0,70199,1
2512,16,70200,1
936,6,70201,1
12531,0,70202,1
3407,21,70205,1
2713,0,70208,1
14718,0,70210,1
3047,8,70212,1
3079,17,70214,1
3643,0,70216,1
3142,5,70222,1
4935,6,70223,1
26377,20,70223,2
3136,5,70229,1
14549,0,70233,1
898,0,70235,1
3989,0,70236,1
1334,8,70245,1
24252,3,70252,1
2929,0,70255,1
3118,2,70256,1
8857,0,70257,1
11547,0,70274,1
12519,8,70275,1
2608,2,70279,1
1048,7,70280,1
2750,0,70284,1
1446,0,70285,1
9862,0,70303,1
4733,7,70304,1
2899,0,70308,1
3245,0,70310,1
